idx,scenario,variant,mode,attack_ok,attack_ok_s1,attack_ok_s2,status,error_type,error_message
196,ds,base,baseline,1,1,1,ok,,
208,ds,base,baseline,1,1,1,ok,,
225,ds,base,baseline,1,1,1,ok,,
233,ds,base,baseline,0,0,0,ok,,
223,ds,base,baseline,1,1,1,ok,,
222,ds,base,baseline,1,1,1,ok,,
220,ds,base,baseline,1,1,0,ok,,
211,ds,base,baseline,1,1,0,ok,,
216,ds,base,baseline,0,0,0,ok,,
226,ds,base,baseline,1,1,1,ok,,
204,ds,base,baseline,1,1,1,ok,,
221,ds,base,baseline,1,1,1,ok,,
218,ds,base,baseline,1,1,0,ok,,
219,ds,base,baseline,1,1,0,ok,,
230,ds,base,baseline,1,1,1,ok,,
234,ds,base,baseline,1,1,1,ok,,
228,ds,base,baseline,1,1,1,ok,,
227,ds,base,baseline,1,1,1,ok,,
236,ds,base,baseline,1,1,1,ok,,
210,ds,base,baseline,1,1,0,ok,,
224,ds,base,baseline,1,1,1,ok,,
215,ds,base,baseline,1,1,1,ok,,
213,ds,base,baseline,1,1,0,ok,,
231,ds,base,baseline,1,1,1,ok,,
232,ds,base,baseline,1,1,1,ok,,
229,ds,base,baseline,1,1,1,ok,,
238,ds,base,baseline,1,1,1,ok,,
246,ds,base,baseline,0,0,0,ok,,
235,ds,base,baseline,1,1,1,ok,,
245,ds,base,baseline,1,1,1,ok,,
247,ds,base,baseline,1,1,1,ok,,
237,ds,base,baseline,1,1,1,ok,,
253,ds,base,baseline,1,1,1,ok,,
258,ds,base,baseline,1,1,1,ok,,
251,ds,base,baseline,1,1,1,ok,,
255,ds,base,baseline,1,1,1,ok,,
262,ds,base,baseline,1,1,1,ok,,
254,ds,base,baseline,1,1,1,ok,,
259,ds,base,baseline,1,1,1,ok,,
267,ds,base,baseline,1,1,1,ok,,
268,ds,base,baseline,1,1,1,ok,,
272,ds,base,baseline,1,1,1,ok,,
243,ds,base,baseline,1,1,1,ok,,
244,ds,base,baseline,1,1,1,ok,,
270,ds,base,baseline,1,1,1,ok,,
248,ds,base,baseline,1,1,1,ok,,
239,ds,base,baseline,1,1,1,ok,,
242,ds,base,baseline,1,1,1,ok,,
260,ds,base,baseline,1,1,1,ok,,
261,ds,base,baseline,1,1,1,ok,,
266,ds,base,baseline,1,1,1,ok,,
240,ds,base,baseline,1,1,1,ok,,
273,ds,base,baseline,1,1,1,ok,,
265,ds,base,baseline,1,1,1,ok,,
249,ds,base,baseline,1,1,1,ok,,
263,ds,base,baseline,1,1,1,ok,,
241,ds,base,baseline,1,1,1,ok,,
250,ds,base,baseline,1,1,1,ok,,
252,ds,base,baseline,1,1,1,ok,,
256,ds,base,baseline,1,1,1,ok,,
279,ds,base,baseline,1,1,1,ok,,
281,ds,base,baseline,1,1,1,ok,,
269,ds,base,baseline,1,1,1,ok,,
284,ds,base,baseline,0,0,0,ok,,
257,ds,base,baseline,1,1,1,ok,,
285,ds,base,baseline,1,1,1,ok,,
271,ds,base,baseline,1,1,1,ok,,
287,ds,base,baseline,1,1,1,ok,,
275,ds,base,baseline,1,1,1,ok,,
292,ds,base,baseline,1,1,1,ok,,
277,ds,base,baseline,1,1,1,ok,,
278,ds,base,baseline,1,1,1,ok,,
280,ds,base,baseline,1,1,1,ok,,
289,ds,base,baseline,1,1,1,ok,,
296,ds,base,baseline,1,1,1,ok,,
301,ds,base,baseline,0,0,0,ok,,
264,ds,base,baseline,1,1,1,ok,,
300,ds,base,baseline,1,1,1,ok,,
276,ds,base,baseline,1,1,1,ok,,
293,ds,base,baseline,1,1,1,ok,,
298,ds,base,baseline,1,1,1,ok,,
282,ds,base,baseline,1,1,1,ok,,
286,ds,base,baseline,1,1,1,ok,,
302,ds,base,baseline,1,1,1,ok,,
294,ds,base,baseline,1,1,1,ok,,
283,ds,base,baseline,1,1,1,ok,,
274,ds,base,baseline,1,1,1,ok,,
288,ds,base,baseline,1,1,1,ok,,
297,ds,base,baseline,1,1,1,ok,,
303,ds,base,baseline,1,1,1,ok,,
295,ds,base,baseline,1,1,1,ok,,
290,ds,base,baseline,1,1,1,ok,,
309,ds,base,baseline,1,1,1,ok,,
317,ds,base,baseline,1,1,1,ok,,
299,ds,base,baseline,1,1,1,ok,,
306,ds,base,baseline,1,1,1,ok,,
291,ds,base,baseline,1,1,1,ok,,
305,ds,base,baseline,1,1,1,ok,,
318,ds,base,baseline,1,1,1,ok,,
321,ds,base,baseline,1,1,1,ok,,
308,ds,base,baseline,1,1,1,ok,,
304,ds,base,baseline,1,1,1,ok,,
323,ds,base,baseline,1,1,1,ok,,
319,ds,base,baseline,1,1,1,ok,,
326,ds,base,baseline,1,1,1,ok,,
311,ds,base,baseline,1,1,1,ok,,
310,ds,base,baseline,1,1,1,ok,,
320,ds,base,baseline,1,1,1,ok,,
312,ds,base,baseline,1,1,1,ok,,
307,ds,base,baseline,1,1,1,ok,,
334,ds,base,baseline,1,1,1,ok,,
336,ds,base,baseline,1,1,1,ok,,
313,ds,base,baseline,1,1,1,ok,,
327,ds,base,baseline,1,1,1,ok,,
328,ds,base,baseline,1,1,1,ok,,
329,ds,base,baseline,1,1,1,ok,,
315,ds,base,baseline,1,1,1,ok,,
322,ds,base,baseline,1,1,1,ok,,
338,ds,base,baseline,1,1,1,ok,,
352,ds,base,baseline,0,0,0,ok,,
331,ds,base,baseline,1,1,1,ok,,
324,ds,base,baseline,1,1,1,ok,,
316,ds,base,baseline,1,1,1,ok,,
340,ds,base,baseline,0,0,0,ok,,
332,ds,base,baseline,1,1,1,ok,,
325,ds,base,baseline,1,1,1,ok,,
333,ds,base,baseline,1,1,1,ok,,
335,ds,base,baseline,1,1,1,ok,,
337,ds,base,baseline,1,1,1,ok,,
342,ds,base,baseline,0,0,0,ok,,
314,ds,base,baseline,1,1,1,ok,,
351,ds,base,baseline,1,1,1,ok,,
339,ds,base,baseline,1,1,1,ok,,
369,ds,base,baseline,0,0,0,ok,,
353,ds,base,baseline,1,1,1,ok,,
355,ds,base,baseline,1,1,1,ok,,
346,ds,base,baseline,0,0,0,ok,,
343,ds,base,baseline,1,1,1,ok,,
345,ds,base,baseline,1,1,1,ok,,
366,ds,base,baseline,1,1,1,ok,,
330,ds,base,baseline,1,1,1,ok,,
341,ds,base,baseline,1,1,1,ok,,
364,ds,base,baseline,1,1,1,ok,,
360,ds,base,baseline,1,1,1,ok,,
368,ds,base,baseline,1,1,1,ok,,
349,ds,base,baseline,1,1,1,ok,,
362,ds,base,baseline,1,1,1,ok,,
